timestamp,rail,rail_position,rail_speed,rail_acceleration,cycle_time
2025-06-11T19:26:10.958960,Linear Rail,1200.0,0,0,0.0
2025-06-11T19:26:11.075452,Linear Rail,1200.0,0.0,0.0,0.11649203300476074
2025-06-11T19:26:11.185116,Linear Rail,1200.0,0.0,0.0,0.22615551948547363
2025-06-11T19:26:11.293337,Linear Rail,1200.0,0.0,0.0,0.33437609672546387
2025-06-11T19:26:11.400775,Linear Rail,1200.0,0.0,0.0,0.4418148994445801
2025-06-11T19:26:11.511599,Linear Rail,1200.0,0.0,0.0,0.552638053894043
2025-06-11T19:26:11.621204,Linear Rail,1200.0,0.0,0.0,0.6622433662414551
2025-06-11T19:26:11.729801,Linear Rail,1200.0,0.0,0.0,0.7708406448364258
2025-06-11T19:26:11.840307,Linear Rail,1200.0,0.0,0.0,0.8813462257385254
2025-06-11T19:26:11.950016,Linear Rail,1200.0,0.0,0.0,0.9910557270050049
2025-06-11T19:26:12.059534,Linear Rail,1200.0,0.0,0.0,1.1005735397338867
2025-06-11T19:26:12.167610,Linear Rail,1200.0,0.0,0.0,1.2086496353149414
2025-06-11T19:26:12.275572,Linear Rail,1200.0,0.0,0.0,1.3166112899780273
2025-06-11T19:26:12.382582,Linear Rail,1200.0,0.0,0.0,1.4236211776733398
2025-06-11T19:26:12.490592,Linear Rail,1200.0,0.0,0.0,1.5316312313079834
2025-06-11T19:26:12.598675,Linear Rail,1200.0,0.0,0.0,1.6397147178649902
2025-06-11T19:26:12.706232,Linear Rail,1200.0,0.0,0.0,1.7472710609436035
2025-06-11T19:26:12.815187,Linear Rail,1200.0,0.0,0.0,1.856226921081543
2025-06-11T19:26:12.923038,Linear Rail,1200.0,0.0,0.0,1.9640772342681885
2025-06-11T19:26:13.032880,Linear Rail,1200.0,0.0,0.0,2.0739195346832275
2025-06-11T19:26:13.144093,Linear Rail,1200.0,0.0,0.0,2.1851322650909424
2025-06-11T19:26:13.253490,Linear Rail,1200.0,0.0,0.0,2.294529676437378
2025-06-11T19:26:13.363644,Linear Rail,1200.0,0.0,0.0,2.4046833515167236
2025-06-11T19:26:13.472163,Linear Rail,1200.0,0.0,0.0,2.513202667236328
2025-06-11T19:26:13.578972,Linear Rail,1200.0,0.0,0.0,2.620011806488037
2025-06-11T19:26:13.686329,Linear Rail,1200.0,0.0,0.0,2.7273685932159424
2025-06-11T19:26:13.794551,Linear Rail,1200.0,0.0,0.0,2.835590362548828
2025-06-11T19:26:13.902844,Linear Rail,1200.0,0.0,0.0,2.9438838958740234
2025-06-11T19:26:14.010386,Linear Rail,1200.0,0.0,0.0,3.051424980163574
2025-06-11T19:26:14.119331,Linear Rail,1200.0,0.0,0.0,3.1603705883026123
2025-06-11T19:26:14.227529,Linear Rail,1200.0,0.0,0.0,3.268568754196167
2025-06-11T19:26:14.336334,Linear Rail,1200.0,0.0,0.0,3.377373695373535
2025-06-11T19:26:14.443578,Linear Rail,1200.0,0.0,0.0,3.484616994857788
2025-06-11T19:26:14.707178,Linear Rail,1200.0,0.0,0.0,3.7482175827026367
2025-06-11T19:26:14.832310,Linear Rail,1200.0,0.0,0.0,3.87334942817688
2025-06-11T19:26:14.941272,Linear Rail,1200.0,0.0,0.0,3.9823110103607178
2025-06-11T19:26:15.051490,Linear Rail,1200.0,0.0,0.0,4.092529296875
2025-06-11T19:26:15.159292,Linear Rail,1200.0,0.0,0.0,4.200331926345825
2025-06-11T19:26:15.268535,Linear Rail,1200.0,0.0,0.0,4.309574127197266
